site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Lake John Road,2022-08-12,20T 0320407 UTM 4862685,NA,Cloudy with some sun,4,"IA,SA,SA,SA",20,25,02:25,04:40,Maritime Garter,73,20T 0321260 UTM 4862478,NA,04:41,"B_073,Bd_073",0,NA,A,M,135,577,717,2,"C309,C310",live,NA,Redish
Baseball field,2022-08-13,20T 0319598 UTM 4841527,3,Cloudy with some sun,4,"IA,SA,SA,SA",23,22,03:27,03:55,Ring Neck,74,20T 0319522 UTM 4841516,3,03:38,"B_074,Bd_074",0,NA,A,NA,10,219,300,1,C311,live,NA,NA
Mill,2022-08-14,20T 0319124 UTM 4839370,38,Cloudy,4,"IA,SA,SA,SA",NA,NQ,NA,NA,Smooth Greensnake,75,20T 0319124 UTM 4839370,38,10:39,"B_075,Bd_075",0,NA,A,NA,6,197,230,1,C312,live,NA,"Missing part of the tail,no physicla datashet."
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,76,20T 0439072 UTM 5071520,6,11:30,"B_076,Bd_076",0,NA,A,F,11,226,275,1,C326,live,NA,Found in mossy forest habitat
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,77,20T 0439072 UTM 5071520,6,11:30,"B_077,Bd_077",0,NA,A,M,10,183,228,2,"C329,C330",live,NA,NA
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,78,20T 0439067 UTM 5071536,6,12:05,"B_078,Bd_078",0,NA,A,F,18.5,241,295,3,"C327,C328,C331",live,NA,NA
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,79,20T 0455132 UTM 4941576,6,11:25,"B_079,Bd_079",0,NA,A,F,10,226,280,2,"C313,C314",live,NA,"Found with 80 and 81,damaged on 3 parts of tai"
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,80,20T 0455132 UTM 4941576,6,11:25,"B_080,Bd_080",0,NA,A,M,8,228,290,2,"C315,C316",live,NA,"Found with 80 and 81,black spots down middle of belly"
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,81,20T 0455132 UTM 4941576,6,12:05,"B_081,Bd_081",0,NA,A,F,10,237,305,2,"C317,C318",live,NA,"Escaped initial capture,caught later unde same rokc it was originally under"
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Maritime Garter,82,19T 0676102 UTM 5079943,NA,05:45,"B_082,Bd_082",0,NA,A,F,60,420,535,2,"C322,C323",live,NA,NA
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Maritime Garter,83,19T 0676102 UTM 5079943,NA,05:50,"B_083,Bd_083",0,NA,A,M,44,405,520,3,"C321,C324,C325",live,NA,"Injury on dorsal side of cloacea(healted),FOUND IN WOODPILE"
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,84,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C484,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,85,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C485,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,86,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C486,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,87,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C487,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,88,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C488,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,89,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C489,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,90,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C490,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Smooth Greensnake,91,19T 0679206 UTM 4968839,NA,NA,"B_091,Bd_091",NA,NA,N,NA,NA,NA,NA,1,C496,frozen,NA,Found dead in pond by homeowner
Sacville mountview Road,2022-08-24,20T 0393504 UTM 5089241,3,Clear sky,2,"JBG,JLR",NA,NA,NA,NA,Maritime Gater,92,20T 0393504 UTM 5089241,3,06:00,"B_092,Bd_092",0,NA,A,F,40,397,513,2,"C319,C320",live,NA,Caught on road mountviw road @6:00
Rockwood Park,2022-09-02,19T 0729883 UTM 5022518,5,Sunny,2,"IA,SA",16,19,10:30,11:50,Maritime Gater,93,19T 0729883 UTM 5022518,5,11:17,"B_093,Bd_093",0,NA,A,F,39,398,535,4,C480-C483,live,NA,Found on manmade rock near lake
Intersection of walker rd and stanly drive,2022-09-04,20T 0391636 UTM 5087748,NA,NA,1,"JLR,JAB,IA",NA,NA,NA,NA,Maritime Gater,94,20T 0391636 UTM 5087748,NA,NA,"B_094,Bd,094",NA,NA,J,NA,NA,NA,NA,1,C497,frozen,NA,NA
Powerlines Riverview,2022-09-08,20T 0359874 UTM 5099469,3,Clear,2,"IA,SA",22,18,06:37,07:44,Maritime Garter,95,20T 0359879 UTM 5099932,NA,06:37,"B_095,BD_095",0,NA,N,NA,2,,,2,"C465,C466",live,NA,Same locstion as large snake and 2 red bellied snake rock
Powerlines Riverview,2022-09-08,20T 0359874 UTM 5099469,3,Clear,2,"IA,SA",22,18,06:37,07:44,Maritime Garter,96,20T 0393468 UTM 5083857,NA,06:48,"B_096,Bd_096",0,NA,J,NA,NA,,,2,"C467,C468",live,NA,NA
Lloyd Railine,2022-09-14,20T 0400020 UTM 5081414,5,"Sunny,wind",2,"IA,CB",19,17,02:02,03:52,Unkown,97,20T 0399516 UTM 5081635,5,2:23pm,NA,0,NA,NA,NA,NA,NA,NA,1,C491,skin,NA,NA
Ribbonsnake site 1,2022-10-14,20T 0349012 UTM 4912817,1.8,Partially Cloudy,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,98,20T 0349232 UTM 4912712,1.8,2:28pm,"B_098,Bd_098",1,"L_098,Ld_098",A,M,24,403,590,17,C421-C437,live,NA,"Weight wht transmitter on,1 Poteintial leison on ventral surface"
Ribbonsnake site 1,2022-10-14,20T 0349012 UTM 4912817,1.8,Partially Cloudy,2,"IA,LP",NA,NA,03:00,04:58,Northern Ribbon Snake,99,20T 0349008 UTM 4912856,NA,4:45pm,"B_099,Bd_099",0,"L_099,Ld_099",A,NA,21,353,515,15,C438-C452,live,NA,"Sispicious swollen injury below cloaca,black discoloration,did not sex due to injury below cloaca"
Ribbonsnake site 1,2022-10-14,20T 0349012 UTM 4912817,1.8,Rainy,2,"IA,LP",NA,NA,NA,NA,Ring Necked snake,101,20T 0349012 UTM 4912817,NA,11:35,NA,0,NA,N,NA,NA,NA,NA,7,C458-C464,live,NA,"Too small to sample found during ribbon snake survey,no physical data sheet"
Ribbonsnake site 1,2022-10-15,20T 0349012 UTM 4912817,1.8,Rainy,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,101,20T 0349012 UTM 4912817,NA,12:18,"B_101,Bd_101",1,"L_101,Ld_101",A,F,20,373,556,6,"C409-C414,C453-C457",live,NA,Vertical scar/necrosis spot in scale above cloaca
Ribbonsnake site 2,2022-10-15,20T 0322889 UTM 4919273,1.8,Cloudy,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,102,20T 0322889 UTM 4919273,1.8,03:07,"B_102,Bd_102",0,NA,A,F,47,495,705,6,C415-C420,live,NA,Weight was done with tape and transmitter on it
"North Brookfeild,NS",NA,20T 0393588 UTM 5083400,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,103,20T 0393588 UTM 5083400,NA,NA,"B_103,Bd_103",0,NA,NA,NA,NA,NA,NA,1,C380,frozen,NA,Skin and bones sample
"West Caledonia Rd,NS",2022--08-12,20T 0336948 UTM 4914775,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,104,20T 0336948 UTM 4914775,NA,NA,"B_104,Bd_104",NA,NA,NA,NA,NA,NA,NA,1,C381,frozen,NA,Skin and bones sample
"1787 Hbernia Rd,Caladonia,Ns",NA,20T 0338193 UTM 4914921,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,105,20T 0338193 UTM 4914921,NA,NA,"B_105,Bd_105",NA,NA,NA,NA,NA,NA,NA,1,C382,frozen,NA,Skin and bones sample
"Highway 8,Caladonia",2022-06-23,20T 0338576 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,106,20T 0338576 UTM 4915801,NA,NA,"B_106,Bd_106",NA,NA,NA,NA,NA,NA,NA,1,C383,frozen,NA,Skin and bones sample
Pleasant River Bridge NS,2021-09-29,20T 0350157 UTM 4922318,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,107,20T 0350157 UTM 4922318,NA,NA,"B_107,Bd_107",NA,NA,NA,NA,NA,NA,NA,2,"C384,C385",frozen,NA,Good for tissue sample found by Nicole tlubley
Petit rivere,NA,20T 0385297 UTM 4898337,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,108,20T 0385297 UTM 4898337,NA,NA,"B_108,Bd_108",NA,NA,NA,NA,NA,NA,NA,1,C386,frozen,NA,"Flat no tissue ,wrong photo"
"Pleasant River Gravel Pit,ns",2022-06-02,20T 0347301 UTM 4919503,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,109,20T 0347301 UTM 4919503,NA,NA,"B_109,Bd_109",NA,NA,NA,NA,NA,NA,NA,1,C387,frozen,NA,Skin and bones sample
"Jake's Landing Keji,NS",NA,20T 0323295 UTM 4918561,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,110,20T 0323295 UTM 4918561,NA,NA,"B_110,Bd_110",NA,NA,NA,NA,NA,NA,NA,1,C388,frozen,NA,Skin and bones sample
"West Caledonia Rd,NS",2022-06-01,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Northern Ribbon Snake,111,20T 0340070 UTM 4915801,NA,NA,"B_111,Bd_111",NA,NA,NA,NA,NA,NA,NA,1,C389,frozen,NA,Good tissue
Keji park,NA,20T 0323070 UTM 4919661,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,112,20T 0323070 UTM 4919661,NA,NA,"B_112,Bd_112",NA,NA,NA,NA,NA,NA,NA,1,C390,frozen,NA,"Good tissue ,tissue sampled "
"Harmony,NS",NA,20T 0487000 UTM 5020941,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,113,20T 0487000 UTM 5020941,NA,NA,"B_113,Bd_113",NA,NA,NA,NA,NA,NA,NA,1,C391,frozen,NA,"Good tissue ,tissue sampled "
"Harmony,NS",NA,20T 0487000 UTM 5020941,NA,NA,2,"IA,LP",NA,NA,NA,NA,Ring Necked snake,114,20T 0487000 UTM 5020941,NA,NA,"B_114,Bd_114",NA,NA,NA,NA,NA,NA,NA,1,C392,frozen,NA,"Good tissue ,tissue sampled "
Keji park,2022-10-13,20T 0314830 UTM 4919117,NA,NA,2,"IA,LP",NA,NA,NA,NA,Ring Necked snake,115,20T 0324205 UTM 4916621,NA,NA,"B_115,Bd_115",NA,NA,NA,NA,NA,NA,NA,1,C393,frozen,NA,"Good tissue ,tissue sampled "
"West Caledonia Rd,NS",2021-06-02,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,116,20T 0340070 UTM 4915801,NA,NA,"B_116,Bd_116",NA,NA,NA,NA,NA,NA,NA,2,"C394,C395",frozen,NA,"Good tissue ,tissue sampled "
"Past South Brookfeild,NS",2021-06-00,20T 0347632 UTM 4901020,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,117,20T 0347632 UTM 4901020,NA,NA,"B_117,Bd_117",NA,NA,NA,NA,NA,NA,NA,1,C396,frozen,NA,Tissue mauled
"Caledonia ,NS",NA,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime garter,118,20T 0340070 UTM 4915801,NA,NA,"B_118,Bd_118",NA,NA,NA,NA,NA,NA,NA,3,C397-C399,frozen,NA,Skin and bones-melanistic gartersnake?
"Caledonia,NS",NA,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,119,20T 0340070 UTM 4915801,NA,NA,"B_119,Bd_119",NA,NA,NA,NA,NA,NA,NA,1,C400,frozen,NA,Skin and bones-melanistic gartersnake?
"MTRI/Mant merritt rd,kempt,NS",NA,20T 0332653 UTM 4921322,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,120,20T 0332653 UTM 4921322,NA,NA,"B_120,Bd_120",NA,NA,NA,NA,NA,NA,NA,1,C401,frozen,NA,Skin and bones-melanistic gartersnake?
"MTRI/Mant merritt rd,kempt,NS",NA,20T 0337027 UTM 4921154,5,NA,2,"IA,LP",NA,NA,NA,NA,Ring Necked snake,121,20T 0337027 UTM 4921154,5,NA,"B_121,Bd_121",NA,NA,NA,NA,NA,NA,NA,1,C402,frozen,NA,Skin and bones-melanistic gartersnake?
"Windsor Junction,NS",NA,20T 0448960 UTM 4960141,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,122,20T 0448960 UTM 4960141,NA,NA,"B_122,Bd_122",NA,NA,NA,NA,NA,NA,NA,1,C403,frozen,NA,Skin and bones-melanistic gartersnake?
"MTRI/Mant merritt rd,kempt,NS",NA,20T 0332653 UTM 4921322,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,123,20T 0332653 UTM 4921322,NA,NA,"B_123,Bd_124",NA,NA,NA,NA,NA,NA,NA,1,C404,frozen,NA,"Good tissue ,tissue sampled "
"Caledonia ,NS",2022-09-26,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,124,20T 0340070 UTM 4915801,NA,NA,"B_124,Bd_124",NA,NA,NA,NA,NA,NA,NA,2,"C405,C406",frozen,NA,Skin and bones-melanistic gartersnake?
"MTRI/Mant merritt rd,kempt,NS",2021-06-?,20T 0332767 UTM 4921059,NA,NA,2,"IA,LP",NA,NA,NA,NA,Red Bellied,125,20T 0332767 UTM 4921059,NA,NA,"B_125,Bd_125",NA,NA,NA,NA,NA,NA,NA,1,C407,frozen,NA,"Good tissue ,tissue sampled "
"Caledonia ,NS",NA,20T 0340070 UTM 4915801,NA,NA,2,"IA,LP",NA,NA,NA,NA,Ring Necked snake,126,20T 0340070 UTM 4915801,NA,NA,"B_126,Bd_126",NA,NA,NA,NA,NA,NA,NA,1,C408,frozen,NA,Skin and bones-melanistic gartersnake?
Mount View Road,2022-10-01,20T 0394476 UTM 5089037,NA,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,127,20T 0394476 UTM 5089037,NA,NA,"B_127,Bd_127",NA,NA,NA,NA,NA,NA,NA,1,C492,frozen,NA,Found freshly hit on road 
"Caledonia ,NS",2022-10-14,20T 0340070 UTM 4915801,4,NA,2,"IA,LP",NA,NA,NA,NA,Maritime Garter,128,20T 0340070 UTM 4915801,4,02:00,"B_128,Bd_128",NA,NA,NA,NA,NA,NA,NA,1,C499,dead,NA,Found freshly hit on road 
Marsh near Spikehorn Lake,2022-08-21,19T 0699841 UTM 5191292,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,129,19T 0699841 UTM 5191292,NA,NA,"B_129,Bd_129",NA,NA,NA,NA,NA,NA,NA,1,C332,frozen,NA,NA
Kennedy Lakes PNA,2022-08-12,19T 0685373 UTM 5187050,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,130,19T 0685373 UTM 5187050,NA,NA,"B_130,Bd_130",1,"L_130,Ld_130",NA,NA,NA,NA,NA,3,C333-C335,frozen,NA,NA
"Kennedy Lakes PNA, rt 108 below 2 sisters hills",2022-08-15,19T 0685564 UTM  5185819,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,131,19T 0685564 UTM  5185819,NA,NA,"B_131,Bd_131",4,"L_131,Ld_131",NA,NA,NA,NA,NA,2,"C336,C337",frozen,NA,NA
"Rt. 108 below 2 Sisters Hills, Kennedy Lakes PNA",2022-08-16,19T 0685564 UTM 5185819,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,132,19T 0685564 UTM 5185819,NA,NA,"B_132,Bd_132",NA,NA,NA,NA,NA,NA,NA,2,"C338,C339",frozen,NA,NA
"Kennedy Lakes PNA, marsh bordering Kennedy/Fowler Lake",2022-08-22,19T 0693363 UTM 5188170,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,133,19T 0693363 UTM 5188170,NA,NA,"B_133,Bd_133",NA,NA,NA,NA,NA,NA,NA,1,C340,frozen,NA,NA
"Kennedy Lakes PNA, 13.7 km NE of Upper Peaked Mtn Lake",2022-08-15,19T 0701234 UTM 5185932,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,134,190T 0701234 UTM 5185932,NA,NA,"B_134,Bd_134",NA,NA,NA,NA,NA,NA,NA,1,C341,frozen,NA,NA
"Kennedy Lakes PNA, near Second Fowler Lake access road",2022-08-11,19T 0693978 UTM 5187084,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,135,19T 0693978 UTM 5187084,NA,NA,"B_135,Bd_135",NA,NA,NA,NA,NA,NA,NA,2,"C342,C343",frozen,NA,NA
"Spednic Lake PNA, Bolton Lake",2017-08-12,19T 0606891 UTM 5055957,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,136,19T 0606891 UTM 5055957,NA,NA,"B_136,Bd_136",3,"L_136,Ld_136",NA,NA,NA,NA,NA,8,C344-C351,frozen,NA,NA
Moosehorn Park,2017,19T 0631993 UTM 4996468,NA,NA,2,"IA,JR",NA,NA,NA,NA,Common Warersnake,137,19T 0631993 UTM 4996468,NA,NA,"B_137,Bd_137",NA,NA,NA,NA,NA,NA,NA,1,C352,frozen,NA,NA
"Spednic Lake PNA, Big La Coote Stream", 2017-08-19 ,19T 0608283 UTM 5506249,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,138,19T 0608283 UTM 5506249,NA,NA,"B_138,Bd_138",1,"L_138,Ld_138",NA,NA,NA,NA,NA,3,C353-C355,frozen,NA,NA
"Spednic Lake PNA, Bolton Lake", 2017-08-12,19T 0609546 UTM 5063217,NA,NA,2,"IA,JR",NA,NA,NA,NA,Red Bellied,139,19T 0609546 UTM 5063217,NA,NA,"B_139,Bd_139",NA,NA,NA,NA,NA,NA,NA,1,C356,frozen,NA,NA
"Georgia Pacific Road (EAST BROOK ROAD), Spednic Lake PNA",2017-08-16,19T 0616603 UTM 5061780,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,140,19T 0616603 UTM 5061780,NA,NA,"B_140,Bd_140",NA,NA,NA,NA,NA,NA,NA,1,C357,frozen,NA,NA
Mary's Point, 2010-04-6,20T 0363859 UTM 5066893,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,141,20T 0363859 UTM 5066893,NA,NA,"B_141,Bd_141",NA,NA,NA,NA,NA,NA,NA,1,C358,frozen,NA,NA
"Nepisquit Protected Natural Area,",2016-08-18,19T 0684252 UTM 5257796,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,142,19T 0684252 UTM 5257796,NA,NA,"B_142,Bd_142",1,"L_142,Ld_142",NA,NA,NA,NA,NA,2,"C359,C360",frozen,NA,NA
Nepisiguit Protected Natural Area,2015-07-02,19T 0674595 UTM 5244548,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,143,19T 0674595 UTM 5244548,NA,NA,"B_143,Bd_143",NA,NA,NA,NA,NA,NA,NA,1,C361,frozen,NA,NA
"highway 385, Little Tobique, 32.7 km ESE St Quentin",2015-07-05,19T 0653218 UTM 5257404,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,144,19T 0653218 UTM 5257404,NA,NA,"B_144,Bd_144",NA,NA,NA,NA,NA,NA,NA,1,C362,frozen,NA,NA
"Big La Coote Stream, Spednic Lake PNA",2017-08-12,19T 0601498 UTM 5506118,NA,NA,2,"IA,JR",NA,NA,NA,NA,Red Bellied,145,19T 0614280 UTM 5067860,NA,NA,"B_145,Bd_145",NA,NA,NA,NA,NA,NA,NA,1,C363,frozen,NA,NA
Mary's Point,2011-09-23,20T 0363859 UTM 5066893,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,146,20T 0363859 UTM 5066893,NA,NA,"B_146,Bd_146",NA,NA,NA,NA,NA,NA,NA,1,C364,frozen,NA,NA
.6 km W of summit of Mt. Elizabeth,2015-06-30,19T 0686103 UTM 5244367,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,147,19T 0686103 UTM 5244367,NA,NA,"B_147,Bd_147",NA,NA,NA,NA,NA,NA,NA,2,"C365,C366",frozen,NA,NA
"Highway 101 next to UNB woodlot, 700m N of Trans Canada Highway overpass",2011-08-26,19T 0680785 UTM 5087211,NA,NA,2,"IA,JR",NA,NA,NA,NA,Smooth Greensnake,148,19T 0680785 UTM 5087211,NA,NA,"B_148,Bd_148",NA,NA,NA,NA,NA,NA,NA,1,C367,frozen,NA,NA
"Nepisquit Protected Natural Area,",2016-08-19,19T 0677219 UTM 5251051,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,149,19T 0677219 UTM 5251051,NA,NA,"B_149,Bd_149",1,"L_149,Ld_149",NA,NA,NA,NA,NA,3,C368-C370,frozen,NA,NA
Moosehorn Park,2017,19T 0631993 UTM 4996468,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,150,19T 0631993 UTM 4996468,NA,NA,"B_150,Bd_150",NA,NA,NA,NA,NA,NA,NA,1,C371,frozen,NA,NA
"Antinouri Lake, granite quarry",2009-06-23,20T 0277322 UTM 5297983,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,151,20T 0277322 UTM 5297983,NA,NA,"B_151,Bd_151",NA,NA,NA,NA,NA,NA,NA,1,C372,frozen,NA,NA
Campobello Island,2016-09-26,19T 0663459 UTM 4972815,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,152,19T 0663459 UTM 4972815,NA,NA,"B_152,Bd_152",NA,NA,NA,NA,NA,NA,NA,1,C373,frozen,NA,NA
Riverside-Albert,2015-09-03,20T 0365121 UTM 5067744,NA,NA,2,"IA,JR",NA,NA,NA,NA,Smooth Greensnake,153,20T 0365121 UTM 5067744,NA,NA,"B_153,Bd_153",5,"L_153,Ld_153",NA,NA,NA,NA,NA,2,"C374,C375",frozen,NA,NA
Mary's Point,NA,20T 0363859 UTM 5065904,NA,NA,2,"IA,JR",NA,NA,NA,NA,Red Bellied,154,20T 0363859 UTM 5065904,NA,NA,"B_154,Bd_154",NA,NA,NA,NA,NA,NA,NA,2,"C376,C377",frozen,NA,NA
"Fredericton, Hugh John Flemming Forestry Complex",2011-08-25,19T 0681731 UTM 5089117,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,155,19T 0681731 UTM 5089117,NA,NA,"B_155,Bd_155",NA,NA,NA,NA,NA,NA,NA,1,C378,frozen,NA,NA
Mt Carleton picnic area,2015-06-30,19T 0665991 UTM 5250883,NA,NA,2,"IA,JR",NA,NA,NA,NA,Maritime Garter,156,19T 0665991 UTM 5250883,NA,NA,"B_156,Bd_156",NA,NA,NA,NA,NA,NA,NA,1,C379,frozen,NA,NA
Unknown ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smooth Greensnake,157,NA,NA,NA,"B_157,Bd_157",NA,NA,NA,NA,NA,NA,NA,2,"C494,C495",frozen,NA,"No data on location given when at museam,not included in maps  portion of the data analysis."
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,NA,2,"IA,AM",NA,NA,NA,NA,Unkown,158,20T 0400020 UTM 5081414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,C493,skin,NA,"Shed from 055,no data physical data sheet for individual"